datatype,kind,id,latitude,longitude,city,type,status,country
physicalStore,Zara,11943,40.8846961,29.2065173,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,9272,41.0559019,28.66787496,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,1236,41.009714,28.658738,ISTANBUL,Mall,OPEN,Turkey
physicalStore,Zara,3915,14.5535993,121.0224862,MAKATI CITY,Mall,OPEN,Philippines
physicalStore,Zara,12894,14.535318,120.9824,PASAY CITY,Mall,OPEN,Philippines
physicalStore,Zara,3564,14.5520008,121.0252401,MAKATI CITY,Mall,OPEN,Philippines
physicalStore,Zara,3524,14.565028,121.037019,MAKATI CITY,Mall,OPEN,Philippines
physicalStore,Zara,3772,14.654702499999999,121.031987,QUEZON CITY,Mall,OPEN,Philippines
physicalStore,Zara,3634,14.580898999999999,121.055043,MANDALUYONG,Mall,OPEN,Philippines
physicalStore,Zara,902,14.585149999999999,121.0591296,MANDALUYONG,Mall,OPEN,Philippines
physicalStore,Zara,12632,14.5519874,121.047594,TAGUIG,Mall,OPEN,Philippines
physicalStore,Zara,3994,37.563788,126.982432,SEOUL,Mall,OPEN,South Korea
physicalStore,Zara,9148,37.554542,126.970673,SEOUL,Mall,OPEN,South Korea
physicalStore,Zara,13631,37.529015,126.96512,SEOUL,Mall,OPEN,South Korea
physicalStore,Zara,9230,37.525551,126.925567,SEOUL,Mall,OPEN,South Korea
physicalStore,Zara,9115,37.502168,127.025259,SEOUL,Street,OPEN,South Korea
physicalStore,Zara,2055,37.511083,127.060687,SEOUL,Mall,OPEN,South Korea
physicalStore,Zara,3989,37.516819,126.903288,SEOUL,Mall,OPEN,South Korea
physicalStore,Zara,9256,37.508858000000004,126.888447,SEOUL,Mall,OPEN,South Korea
physicalStore,Zara,1254,37.514363,127.104658,SEOUL,Mall,OPEN,South Korea
physicalStore,Zara,9054,37.654713,127.061231,SEOUL,Mall,OPEN,South Korea
physicalStore,Zara,12211,37.647313,126.896263,GOYANG,Mall,OPEN,South Korea
physicalStore,Zara,1291,37.562903,126.802559,SEOUL,Mall,OPEN,South Korea
physicalStore,Zara,11634,37.544418,127.22493,HANAM,Mall,OPEN,South Korea
physicalStore,Zara,3943,37.385494,127.124281,SEONGNAM,Street,OPEN,South Korea
physicalStore,Zara,1375,37.663991,126.753469,GOYANG,Mall,OPEN,South Korea
physicalStore,Zara,12925,37.313667,127.0811,YONGIN,Mall,OPEN,South Korea
physicalStore,Zara,14973,40.7342158,-73.8709219,NEW YORK,Mall,OPEN,United States
physicalStore,Zara,3862,40.7225111,-73.9995769,NEW YORK,Street,OPEN,United States
physicalStore,Zara,3904,40.7112633,-74.008867,NEW YORK,Street,OPEN,United States
physicalStore,Zara,3037,40.7380433,-73.9920227,NEW YORK,Street,OPEN,United States
physicalStore,Zara,3074,40.7494914,-73.9867944,NEW YORK,Street,OPEN,United States
physicalStore,Zara,3818,40.7537551,-73.9810099,NEW YORK,Street,OPEN,United States
physicalStore,Zara,11855,40.6095411,-73.921249,NEW YORK,Mall,OPEN,United States
